courseId,set,text,optionA,optionB,optionC,optionD,correct,explanation
aigf,1,What is the critical temperature (deg C) of vinyl chloride?,-6524.0,-6592.0,-6214.0,158.4,D,
aigf,1,What is the critical temperature (deg C) of ethylene oxide?,-5947.0,-5486.0,195.7,-6249.0,C,
aigf,1,What is the critical temperature (deg C) of propylene oxide?,-8529.0,-6219.0,209.1,-6593.0,C,
aigf,1,What is the critical temperature (deg C) of ammonia?,-6597.0,132.4,-5649.0,-5627.0,B,
aigf,1,What is the critical temperature (deg C) of Chlorine?,144.0,-9657.0,-2546.0,-5698.0,A,
aigf,1,"What is the critical pressure (bars, absolute) of Methane?",-5947.0,44.7,-2345.0,-6249.0,B,
aigf,1,"What is the critical pressure (bars, absolute) of Ethane?",-8529.0,-5486.0,48.9,-7648.0,C,
aigf,1,Which gas is considered as Fuel [in the context of this code] in liquid and compressed form,Natural gas,propane,i-Butane,All the above,D,
aigf,1,"In IGF Code, Which is called Fuel containment system",Cargo tank,the arrangement for the storage of fuel including and connections,Any tank,the transfer of liquid from land based,B,
aigf,1,"In IGF Code, IEC means",International Electrochemical Commission,International Electrotechnical Commission,Indian Electrotechnical Commission,Indian Electrochemical Commission,A,
aigf,1,"In IGF Code, Independent tanks means","self-supporting, do not form part of the ship's hull",are not essential to the hull strength,both (a) and (b),none of the above,C,
aigf,1,____________is capable of being ignited.,Flammable,Inflammable,Absolute temperature,Absolute zero,A,
aigf,1,_________ is the range of gas concentrations in air between which the mixture is flammable.,Inflammable range,Flammable range,Temperature range,Pressure range,B,
aigf,1,Flammable range is the range of concentrations between,lower flammable limit,upper flammablle limit,both (a) and (b),none of the above,C,
aigf,1,Flash point is the ________ temperature at which a liquid gives off sufficient vapour to form a flammable mixture with air near the surface of the liquid.,lowest,highest,medium,zero,A,
aigf,1,Gas code are ______________carrying liquefied gases in bulk,codes of construction,equipment of ships,both (a) and (b),none of the above,C,
aigf,1,Gas codes are published by ____________,Indian Maritime Organisation,International Maritime Oraganisation,Indian Marine Organisation,International Marine Oraganisation,B,
aigf,1,___________ is within ship's cargo area which is designated as likely to contain flammable vapour,Gas dangerous space,Gas dangerous zone,both (a) and (b),none of the above,C,
aigf,1,What does gas free certificate certified for?,21 percent carbon dioxide by volume,21 percent hydrogen by volume,21 percent nitrogen by volume,21 percent oxygen by volume,D,
aigf,1,When is gas free certificate issued?,a tank hs been suitably inerted,considered safe for surrounding hot work,both (a) and (b),none of the above,C,
aigf,1,What is Gas freeing?,removal of toxic gas from a tank,removal of flammable gas from a tank,removal of inert gas from a tank,All of the above,D,
aigf,1,What is latent heat of vaporization?,Quality of heat to change the state of a substance from liquid to vapour without change of temperature,sufficiently free from chemical,sufficiently free from hydrocarbon gases,permitting the outward passage of gas,A,
aigf,1,"In latent heat of vaporization, Quality of heat to change the state of a substance from ____________ without change of temperature",solid to vapour,liquid to vapour,liquid to molecules,solid to liquid,B,
aigf,1,What is Liquefied gas?,Quality of heat to change the state of a substance from liquid to vapour without change of temperature,A liquid which has a saturated vapour pressure exceeding 2.8 bar absolute at 37.80C and certain other substances specified in the Gas Codes,sufficiently free from hydrocarbon gases,permitting the outward passage of gas,B,
aigf,1,"In Liquefied gas, a liquid which has a saturated vapour pressure exceeding ______ absolute at 37.80C and certain other substances specified in the Gas Codes.",308 bar,2.8 bar,18 bar,48 bar,B,
aigf,1,"In Liquefied gas, a liquid which has a saturated vapour pressure exceeding 2.8 bar absolute at __________ and certain other substances specified in the Gas Codes.",0,100,37.80C,none of the above,C,
aigf,1,"In Liquefied gas, a liquid which has a saturated vapour pressure __________ 2.8 bar absolute at 37.80C and certain other substances specified in the Gas Codes.",decreasing,exceeding,maintaining,none of the above,B,
aigf,1,What is the major constituent of Liquefied Natural Gas?,methane,Styrene,Acrylonitrile,Polybutadiene,A,
